id,diet,tc,feed
M1340,AIN,146.8301611,13.40571429
M1341,AIN,253.0734655,12.90628571
M1342,AIN,190.486159,11.99942857
M1343,AIN,203.1173694,12.93257143
M1344,AIN,328.3821376,13.01142857
M1345,AIN,146.3454338,13.51085714
M1346,AIN,210.6418087,12.39371429
M1347,AIN,199.5520033,11.76285714
M1348,AIN,187.9781866,11.90742857
M1390,AIN,360.8183156,12.89314286
M1361,WD,651.6156601,12.5775
M1362,WD,623.6453943,11.91125
M1366,WD,758.7590046,14.05625
M1375,WD,737.4322697,14.17
M1378,WD,553.9009942,16.445
M1381,WD,617.5524988,13.92625
M1386,WD,666.7548429,15.22625
M1387,WD,785.9759075,14.60875
M1388,WD,690.7127377,15.8925
M1350,WDSG,824.4729583,16.2175
M1351,WDSG,683.2480433,16.68875
M1357,WDSG,836.2728463,18.5575
M1360,WDSG,816.9024684,16.25
M1369,WDSG,801.2070608,14.7225
M1370,WDSG,697.8552718,18.33
M1372,WDSG,869.4070278,15.74625
M1373,WDSG,649.7291362,17.01375
M1374,WDSG,594.5034828,14.77125
M1389,WDSG,690.4726069,15.86
M1352,WDTP,945.4068565,17.98875
M1353,WDTP,1013.771824,16.55875
M1358,WDTP,906.9278889,18.4275
M1363,WDTP,934.3016255,14.25125
M1364,WDTP,876.5051174,13.66625
M1365,WDTP,1068.173086,16.07125
M1368,WDTP,916.6105417,14.05625
M1371,WDTP,967.3948379,15.71375
M1377,WDTP,1072.745242,17.98875
M1385,WDTP,971.430897,13.455
M1349,WDTPSG,956.3239337,18.598125
M1354,WDTPSG,937.7790677,16.0225
M1355,WDTPSG,1154.650813,15.405
M1356,WDTPSG,804.899886,19.825
M1367,WDTPSG,987.5504876,18.6875
M1376,WDTPSG,724.1654466,21.45
M1379,WDTPSG,975.2156927,16.2825
M1380,WDTPSG,1069.835585,16.4125
M1382,WDTPSG,1152.844672,15.16125
M1384,WDTPSG,1138.395545,18.93125
