id,uca,mpa,thickness
L604,Definity,0,35
L611,Definity,0,10
L614,Definity,0,70
L617,Definity,0,60
L624,Definity,0,100
L593,Saline,0,50
L605,Saline,0,30
L608,Saline,0,60
L627,Saline,0,20
L632,Saline,0,70
L602,Definity,0.74,60
L610,Definity,0.74,40
L619,Definity,0.74,90
L626,Definity,0.74,40
L630,Definity,0.74,10
L592,Saline,0.74,140
L595 ,Saline,0.74,90
L599,Saline,0.74,90
L603,Saline,0.74,50
L629,Saline,0.74,60
L600,Definity,1.2,25
L615,Definity,1.2,110
L631,Definity,1.2,10
L633,Definity,1.2,50
L634,Definity,1.2,30
L597,Saline,1.2,100
L606,Saline,1.2,230
L609,Saline,1.2,40
L620,Saline,1.2,100
L625,Saline,1.2,20
L601,Definity,2.1,15
L618,Definity,2.1,100
L621,Definity,2.1,25
L623,Definity,2.1,100
L628,Definity,2.1,40
L635,Definity,2.1,90
L598,Saline,2.1,20
L612,Saline,2.1,210
L613,Saline,2.1,90
L616,Saline,2.1,100
L622,Saline,2.1,100
