id,diet,adipose
M1340,AIN,0.01503629
M1341,AIN,0.030310954
M1342,AIN,0.017112971
M1343,AIN,
M1344,AIN,
M1345,AIN,0.01465272
M1346,AIN,0.017
M1347,AIN,0.015948052
M1348,AIN,0.010712963
M1390,AIN,0.023613027
M1361,WD,0.029688525
M1362,WD,0.032143426
M1366,WD,0.049479592
M1375,WD,0.024390625
M1378,WD,0.013552
M1381,WD,0.029755814
M1386,WD,0.038595808
M1387,WD,0.039043077
M1388,WD,0.025238462
M1350,WDSG,0.027814394
M1351,WDSG,0.029030928
M1357,WDSG,0.043694268
M1360,WDSG,0.025151852
M1369,WDSG,0.03170751
M1370,WDSG,0.018771331
M1372,WDSG,0.023208494
M1373,WDSG,0.013800813
M1374,WDSG,0.025804428
M1389,WDSG,0.017802419
M1352,WDTP,0.0403375
M1353,WDTP,0.036817544
M1358,WDTP,0.033346535
M1363,WDTP,0.037301418
M1364,WDTP,0.036771331
M1365,WDTP,0.045172297
M1368,WDTP,0.034290102
M1371,WDTP,0.028096296
M1377,WDTP,0.051560472
M1385,WDTP,0.026042146
M1349,WDTPSG,0.041164516
M1354,WDTPSG,0.031678322
M1355,WDTPSG,0.046326984
M1356,WDTPSG,0.03384507
M1367,WDTPSG,0.031696667
M1376,WDTPSG,0.030765101
M1379,WDTPSG,0.033430556
M1380,WDTPSG,0.046955357
M1382,WDTPSG,0.043579412
M1384,WDTPSG,0.043709877
